game_id,name,genre_name,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
984,Tom Clancy's H.A.W.X 2,Simulator,3,NULL,52.1667,9,60.2152,13
984,Tom Clancy's H.A.W.X 2,Adventure,3,NULL,52.1667,9,60.2152,13
28323,Mega Man Legacy Collection 2,Shooter,7,NULL,71.4000,11,95.1374,9
28323,Mega Man Legacy Collection 2,Platform,7,NULL,71.4000,11,95.1374,9
28323,Mega Man Legacy Collection 2,Adventure,7,NULL,71.4000,11,95.1374,9
94873,Sonic Mania Plus,Platform,7,NULL,86.7778,9,95.1978,33
6168,Insanely Twisted Shadow Planet,Shooter,4,NULL,75.6667,5,73.4077,18
6168,Insanely Twisted Shadow Planet,Adventure,4,NULL,75.6667,5,73.4077,18
6168,Insanely Twisted Shadow Planet,Indie,4,NULL,75.6667,5,73.4077,18
12519,Tooth and Tail,Strategy,10,4,82.0000,8,69.6038,12
12519,Tooth and Tail,Indie,10,4,82.0000,8,69.6038,12
12519,Tooth and Tail,Arcade,10,4,82.0000,8,69.6038,12
18595,Another Code: Two Memories,Puzzle,4,NULL,70.0000,1,64.1228,11
18595,Another Code: Two Memories,Adventure,4,NULL,70.0000,1,64.1228,11
27150,Minion Masters,Role-playing (RPG),6,1,0.0000,1,66.5303,14
27150,Minion Masters,Strategy,6,1,0.0000,1,66.5303,14
27150,Minion Masters,Adventure,6,1,0.0000,1,66.5303,14
27150,Minion Masters,Indie,6,1,0.0000,1,66.5303,14
5991,Project: Snowblind,Shooter,3,NULL,72.5000,4,62.9768,21
9607,CLANNAD,Adventure,9,NULL,NULL,NULL,90.8528,27
934,Wing Commander IV: The Price of Freedom,Simulator,4,NULL,62.5000,2,89.4022,19
824,NHL 09,Sport,3,NULL,90.0000,3,89.5773,23
20065,Resident Evil 4 HD,Shooter,45,1,85.2500,23,89.0533,80
20065,Resident Evil 4 HD,Adventure,45,1,85.2500,23,89.0533,80
2336,Mario Party 9,Puzzle,8,NULL,73.6667,3,68.0903,36
2336,Mario Party 9,Adventure,8,NULL,73.6667,3,68.0903,36
5056,NBA 2K11,Sport,11,NULL,91.5000,5,89.9969,40
9732,The Flame in the Flood,Adventure,23,2,76.8824,18,76.9567,44
9732,The Flame in the Flood,Indie,23,2,76.8824,18,76.9567,44
103380,Bloons TD 6,Strategy,3,NULL,NULL,NULL,72.2438,27
4839,Halo: Spartan Assault,Shooter,11,NULL,66.0000,10,61.6472,40
888,Supreme Commander: Forged Alliance,Strategy,13,NULL,75.0000,3,77.0296,28
138225,Super Mario 3D All-Stars,Platform,15,3,84.8889,11,64.5020,28
138225,Super Mario 3D All-Stars,Puzzle,15,3,84.8889,11,64.5020,28
138225,Super Mario 3D All-Stars,Adventure,15,3,84.8889,11,64.5020,28
1891,Magic: The Gathering - Duels of the Planeswalkers 2013,Strategy,5,NULL,80.0000,4,72.1435,17
3802,Risen 2: Dark Waters,Role-playing (RPG),26,NULL,63.6667,7,74.0921,66
3721,Kirby & the Amazing Mirror,Platform,15,NULL,NULL,NULL,84.8264,59
3721,Kirby & the Amazing Mirror,Adventure,15,NULL,NULL,NULL,84.8264,59
5440,Kirby Triple Deluxe,Platform,14,NULL,78.5455,11,85.0000,39
5440,Kirby Triple Deluxe,Adventure,14,NULL,78.5455,11,85.0000,39
15710,Aviary Attorney,Adventure,7,NULL,79.3333,5,75.1621,18
15710,Aviary Attorney,Indie,7,NULL,79.3333,5,75.1621,18
18221,Kirby: Planet Robobot,Platform,10,NULL,82.2667,16,87.7104,25
18221,Kirby: Planet Robobot,Adventure,10,NULL,82.2667,16,87.7104,25
240,Battlefield 1942,Shooter,61,NULL,90.0000,1,79.0072,191
5593,Daylight,Adventure,1,NULL,49.7000,12,49.6232,16
5593,Daylight,Indie,1,NULL,49.7000,12,49.6232,16
1087,Donkey Kong Junior,Platform,12,NULL,NULL,NULL,73.6632,50
1087,Donkey Kong Junior,Arcade,12,NULL,NULL,NULL,73.6632,50
7339,Super Mario Maker,Platform,71,16,89.7273,14,82.0734,146
9105,2048,Puzzle,10,NULL,NULL,NULL,73.1108,39
9105,2048,Strategy,10,NULL,NULL,NULL,73.1108,39
9105,2048,Indie,10,NULL,NULL,NULL,73.1108,39
26157,Super Mario Maker for Nintendo 3DS,Platform,5,NULL,67.8333,12,79.4881,10
26157,Super Mario Maker for Nintendo 3DS,Puzzle,5,NULL,67.8333,12,79.4881,10
1876,Spore,Role-playing (RPG),59,1,82.0000,7,73.5058,243
1876,Spore,Simulator,59,1,82.0000,7,73.5058,243
1876,Spore,Strategy,59,1,82.0000,7,73.5058,243
1876,Spore,Adventure,59,1,82.0000,7,73.5058,243
24423,Pokémon Trading Card Game Online,Strategy,96,1,NULL,NULL,62.8710,38
24423,Pokémon Trading Card Game Online,Adventure,96,1,NULL,NULL,62.8710,38
81909,Exo One,Simulator,1,3,NULL,NULL,70.0815,12
81909,Exo One,Adventure,1,3,NULL,NULL,70.0815,12
81909,Exo One,Indie,1,3,NULL,NULL,70.0815,12
1592,Fable: The Journey,Role-playing (RPG),2,NULL,63.1250,10,70.0000,1
1592,Fable: The Journey,Adventure,2,NULL,63.1250,10,70.0000,1
7268,Akiba's Trip: Undead & Undressed,Role-playing (RPG),7,NULL,64.1429,9,40.5064,18
7268,Akiba's Trip: Undead & Undressed,Adventure,7,NULL,64.1429,9,40.5064,18
2723,Diddy Kong Racing,Adventure,29,NULL,50.0000,1,79.4530,122
8141,Receiver,Shooter,8,NULL,NULL,NULL,67.5620,12
8141,Receiver,Simulator,8,NULL,NULL,NULL,67.5620,12
8141,Receiver,Indie,8,NULL,NULL,NULL,67.5620,12
945,Football Manager 2007,Simulator,5,NULL,76.2500,3,78.3815,15
945,Football Manager 2007,Sport,5,NULL,76.2500,3,78.3815,15
945,Football Manager 2007,Strategy,5,NULL,76.2500,3,78.3815,15
1088,Donkey Kong 3,Platform,4,NULL,NULL,NULL,59.5754,27
1088,Donkey Kong 3,Adventure,4,NULL,NULL,NULL,59.5754,27
7084,Marvel Puzzle Quest,Puzzle,2,NULL,40.0000,1,57.4042,10
