id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
1,33260,The Fifth Expedition,NULL,2016-04-07 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
2,40104,Dogou Souken,NULL,1987-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
3,85031,City Mysteries,NULL,2014-07-03 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
4,139538,sun machine,NULL,2018-05-10 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
5,33284,One way to exit,NULL,2016-03-12 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
6,89616,Bubble Whirl Shooter,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,104748,Space station - build your own ISS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,146815,Parking Lot Maze,NULL,2008-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
9,85450,Transformers Prime: The Game,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,135938,a sunny day in lockdown,NULL,2020-04-09 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
11,91579,Racing Live,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,126622,Long Count,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,118536,Football Nation VR Tournament 2018,NULL,2018-06-07 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
14,58674,PKTBALL,NULL,2016-04-07 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
15,155915,Freus,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,174288,Apollo LM,NULL,2021-09-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
17,174291,Minar,NULL,2021-08-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
18,78193,Test Drive,NULL,2002-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
19,48468,Home Run Nighter '90: The Pennant League,NULL,1990-08-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
20,138142,Lime Ergot,NULL,2014-10-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
21,71300,PixelShips,"In the year 2049, a new toy was invented to bridge the generation gap, uniting people of all ages together in friendly competition: PixelShips. Each ship is designed to meet specialized standards so that no matter how young or old you are you can enjoy them just the same.

Most PixelShips are only a foot or two long and are flown using special devices called PICCs, or PixelShip Interface Command Consoles. The consoles have two joysticks and six buttons on each stick and can interface with any ship that has been registered into it. Some PICCs also have LCD displays so that you don't need a TV to see what your PixelShip sees while it flies.

Each PixelShip uses batteries, just like any other toy, though some use Micro-Reactors instead and are fueled at special facilities so that childeren cannot actually access the fuel inside. They are also designed out of segments held together by micro-magnets. When the ship is ""destroyed"" in combat, its micro-magnets disengage and the ship flies apart into its seperate segments, each still carrying a residual charge from the ship's anti-gravity unit. If all of the segments are then tagged by another PixelShip, that collector may then, under official guidelines, possess the ship if he so desires.

Classic PixelShips takes place in the year 2076 when a very secretive PixelShip has supposedly been built. Your task is to collect all 160 known PixelShips by earning them through campaign battles at the arena. Afterwards, you will be given access to a special campaign where you may earn this unique and unheard of PixelShip.",NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,74270,Q,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,130740,Deathmatch Club,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
24,100789,Flying Arrow!.,NULL,NULL,NULL,NULL,NULL,NULL,34.1619,0
25,154564,Cascadia Quest,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
26,124961,Railroad Tycoon 2: Platinum Edition,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27,85137,Family Trainer: Extreme Challenge,NULL,2009-09-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
28,176209,YogKart,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
29,109342,Christmas Mahjong 2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30,107721,The Vrennman Case,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
31,182726,Maze: The Ritual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
32,130742,Flashy Maze,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
33,181285,Pico Room4Joy,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
34,141337,Diary of Lucie,"Go on an adventure looking for the scattered diary pages. 
The more you read the diary, the deeper you fall asleep.",NULL,NULL,NULL,NULL,NULL,NULL,NULL
35,193329,Lego Hero Factory: Brain Attack,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
36,57729,Laserbreak: Esacpe,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
37,183323,Double Time Dash,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38,94975,Wubble Bubbles,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
39,86080,SingStar: Frozen,NULL,2015-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
40,1977,Scarlet Blade,NULL,2013-03-27 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
41,125970,Tie Break Tennis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
42,6515,Moto Racer Advance,NULL,2002-10-04 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
43,11226,Anstoss 3,NULL,2000-06-01 00:00:00.000,2,NULL,NULL,NULL,99.6223,7
