id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
4839,11194,The Legend of Zelda: Tri Force Heroes,NULL,2015-10-22 00:00:00.000,14,4,71.8571,10,64.5695,28
9426,143614,The Legend of Zelda: Skyward Sword HD,Skyward Sword takes place at the beginning of the Zelda continuity.,2021-07-15 00:00:00.000,3,2,83.4286,9,74.1904,6
10158,180897,Triforce: The Topologies of Zelda,NULL,2018-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
15791,136162,The Legend of Zelda: Skyward Sword - Limited Edition Pack,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23861,141742,Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda - Season Pass,"DLC Pack 1: Character Pack
Take your musical journey for a new spin with five newly added characters: Impa, Aria, Frederick, Shadow Link and Shadow Zelda.

DLC Pack 2: Melody Pack
Adds 39 new songs, including remixed versions of the game’s background music. You can change the background music at any time so you can listen to your favourite songs while journeying through Hyrule.

DLC Pack 3: Symphony of the Mask
Play as the mysterious Skull Kid and venture through a brand-new map, complete with new songs and a new story. Plus, he has the power to change abilities based on the masks he dons. What awaits Skull Kid in these strange lands?",2020-07-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
39179,45134,The Legend of Zelda: Twilight Princess HD - Special Edition,NULL,2016-03-04 00:00:00.000,1,1,NULL,NULL,NULL,NULL
43555,45139,The Legend of Zelda: Collector's Edition,NULL,2003-11-07 00:00:00.000,2,NULL,NULL,NULL,80.0460,6
45740,45143,The Legend of Zelda: Four Swords - Anniversary Edition,NULL,2011-09-28 00:00:00.000,3,NULL,NULL,NULL,69.8087,13
47130,42308,BS Zelda no Densetsu: Inishie no Sekiban,"The Hero of Light - Week 1
The events of Ancient Stone Tablets occur a mere six years after the destruction of Ganon by the hero, Link in A Link to the Past. Hyrule is enjoying a time of peace and tranquility, but Princess Zelda suffers from a dark, recurring dream showing a shadow over a temple; a premonition of evil to come. One day, she witnesses a mysterious and brilliant light in the sky to the east. Aginah, the younger brother of the wise man Sahasrahla and now living in his old hideout near the Eastern Palace also witnesses such a light, and travels to investigate. There he finds a strange youth lying on the ground. Zelda, also following the light, meets up with Aginah, and they both carry the child to rest in Sahasrahla's hideout. Confused by the youth's unusual clothes, they believe the child not to hail from Kakariko Village. Speaking to Aginah while the youngster sleeps, Zelda learns that his brother Sahasrahla had also sensed danger surrounding Hyrule and had left the land to find the hero, Link. While Link has not yet returned, Zelda senses that if this new youth was endowed with courage, he or she may be the Hero of Light.

The Monsters Return - Week 2
Some time after Zelda sets off to return to Hyrule Castle, a Soldier who guards the Eastern Palace appears before Aginah, claiming that a horde of monsters had appeared, killing the other guards protecting the temple. As the sole survivor, he passes this information on to Aginah despite his injuries. Aginah remains with the youth, hoping Zelda's belief in him or her is true. When the child awakens, Aginah informs the youngster of the monsters that are attacking their land, and explains that it is dangerous to go alone without a weapon. He states that a Sword and Shield can be found in the Eastern Palace, but he himself is too old to go there. He lends the youth an Ocarina and a Bug-Catching Net belonging to Saharshala, and also a Bottle containing a magical Golden Bee. He informs the child that the bee will attack monsters, but flee from anyone who holds a blade, and that the ocarina can be used to return to the entrance of a dungeon. With that, the new hero embarks on his or her journey.

The Tablets - Week 3
After obtaining weaponry and exploring the Eastern Palace and a dark dungeon hidden behind the Waterfall of Wishing, the hero obtains two mysterious tablets from the Dungeon Masters, the Armos Knights and Moldorm. The hero also rescues Zelda from a monster attack and escorts her to Hyrule Castle. After the hero's quests in the dungeons are completed, he or she and Aginah meet up with Zelda in the castle and proceed to study the unusual tablets. Aginah concludes that they should travel to his elder brother's house in Kakariko Village to search for clues to deciphering the markings. Unfortunately, Aginah fails to discover anything important about them, so implores the hero to travel forth and collect more of them from the dungeon monsters. After obtaining two more tablets, Zelda suggests they travel instead to Link's House to obtain the Book of Mudora, which may be able to translate the text. While Aginah searches the house, Zelda calls for the Fortune Teller to divine the location of the book, while the hero continues to search for the tablets. Aginah does eventually locate the book, upon which point he and the hero meet with Zelda at the castle.

The Silver Arrows and the Demon King - Week 4
The translated text of the tablets, written in the language of ancient Hyrule states that a sealed power, the Silver Arrows, is buried on the mountain. Aginah and the hero travel to the Sanctuary at the foot of the mountain, but Zelda follows, claiming she had another prophetic dream, this time of her holding the Book of Mudora on top of Death Mountain. Zelda insists on traveling with the hero to the summit of the mountain, as she is the only one who can read the Book of Mudora. During their quest to obtain the final two tablets and reach the summit, the Fortune Teller sees the King of Evil in a vision. Ganon's malice had kept his spirit alive despite the destruction of his body. It was this lingering evil power that had drawn the Hero of Light into the land of Hyrule, and upon the summit the hero travels once more into another world to engage in a desperate final battle with the Demon King in a new version of Ganon's Tower. Ganon desires the power of the Hero of Light to be fully reborn, but is finally destroyed using the Silver Arrows once more.",1997-03-30 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
47246,135127,Zelda Classic,NULL,1999-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
52104,45136,The Legend of Zelda: Skyward Sword Collector's Edition,NULL,NULL,1,1,NULL,NULL,NULL,NULL
56347,2276,The Legend of Zelda: The Wind Waker HD,NULL,2013-09-26 00:00:00.000,100,NULL,90.5000,12,90.2907,186
61795,1041,The Legend of Zelda: Oracle of Ages,"Transcend the very fabric of time with the Harp of Ages. Rescue Nayru, the Oracle of Ages, to save the Land of Labrynna from Veran, Sorceress of Shadows, who will pitch the world into an endless night.

Travelling through time presents Link with unique challenges. If a river blocks Link's path in the present, he can travel to the past and move a stone, redirecting the flow of water. If he plants seeds in the past, he'll find full-grown trees and vines when he returns to the present.",2001-02-27 00:00:00.000,35,NULL,95.3333,3,84.7463,103
62234,163572,The Legend of Zelda: Four Swords,NULL,2002-12-02 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
63130,1038,The Legend of Zelda: Spirit Tracks,"• Link has a valuable new companion. While navigating dungeons, he’s accompanied by a Phantom, a hulking suit of armor that responds to his commands. Players can tap the Phantom to take command of him, then draw a line on the touchscreen to direct him where to go. The stout Phantom can walk through fire or lava, be used as a platform to carry Link above dangers, or even run interference to block Link from harm.

• When Link conducts the train, players enjoy a satisfying combination of action and real-time puzzle solving as they determine which track to take and how to best manipulate their speed. When on the train, Link must plot the best route to the end of the line around ever-moving obstacles. While en route, Link might need to fire an onboard cannon at enemies who attack the train or sound the whistle to scare animals off the tracks.

• Link uses a variety of new items and weapons, including the Whirlwind, which players activate by blowing into the microphone of the Nintendo DS system.

• As with The Legend of Zelda: Phantom Hourglass, players can draw notes on the in-game maps using the stylus on the touch screen.",2009-12-07 00:00:00.000,34,NULL,91.6667,5,76.5687,128
71181,45135,The Legend of Zelda: The Wind Waker HD - Limited Edition,NULL,2013-12-31 00:00:00.000,1,1,NULL,NULL,NULL,NULL
73523,46620,Zelda: Mystery of The Solarus XD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
75105,136337,The Legend of Zelda: Breath of the Wild - Special Edition,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
78204,152361,Game & Watch: The Legend of Zelda,NULL,2021-11-12 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
78410,1036,The Legend of Zelda: Twilight Princess,"Link, a young man from a small farming village, finds Hyrule is being consumed by an otherworldly twilight. Guided by a strange pixie named Midna, he endeavors to return light to the land and confront the usurper king Zant.",2006-11-19 00:00:00.000,257,NULL,96.2500,3,85.5053,540
79256,184332,The Legend of Zelda: Eternal Rain,NULL,2020-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
83058,75295,The Legend of Zelda: Breath of the Wild - Explorer's Edition,NULL,NULL,1,1,NULL,NULL,NULL,NULL
83069,44030,The Legend of Zelda: Majora's Mask 3D - Limited Edition,"Link's all-new epic adventure lands him in the mystical world of Termina, where ever-present clocks count down the hours until a menacing moon falls from the sky above. When his horse and Ocarina are stolen by a strange, masked figure, Link embarks on an urgent quest to solve the mystery of the moon, save the world from destruction, and find his way back to the peaceful land of Hyrule!",2015-03-13 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
83358,46430,The Legend of Zelda: Return of the Hylian,"After Link's victory over Ganon (in ""A Link to the Past""), no one knows what Link’s wish to the Triforce was. But this wish reunified the Light World and the Dark World and brought the 7 wise men’s descendants back to life. Peace was back in Hyrule. But unfortunately, this wish also ressurected Ganon and his henchmen. He was preparing his revenge, but he couldn’t do anything without the Triforce. One night, a familiar voice speaks to Link in his sleep…",2008-12-18 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
83399,1037,The Legend of Zelda: Phantom Hourglass,"Many months have passed since the events of The Legend of Zelda: The Wind Waker, and Link, Tetra and Tetra’s band of pirates have set sail in search of new lands. They come across a patch of ocean covered in a dense fog, in which they discover an abandoned ship. Tetra falls into danger when she explores the ship alone, and Link falls into the ocean when he attempts to rescue her. When he washes up unconscious on the shores of a mysterious island, he is awakened by the sound of a fairy’s voice. With the aid of this fairy, he sets off to find Tetra – and his way back to the seas he once knew.",2007-06-23 00:00:00.000,51,NULL,89.2500,4,76.4597,187
85316,41829,The Legend of Zelda: Breath of the Wild - Expansion Pass,NULL,2017-03-03 00:00:00.000,4,NULL,NULL,NULL,95.9857,12
91010,38319,BS Zelda no Densetsu,"At the beginning of the game, the character automatically walks into a cave, where the Old Man gives him or her the Wooden Sword. The character must complete all eight dungeons and obtain the eight pieces of the Triforce. Two of the pieces are available in each week.",1995-09-09 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
