game_id,name,platform_name,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
984,Tom Clancy's H.A.W.X 2,PC (Microsoft Windows),3,NULL,52.1667,9,60.2152,13
984,Tom Clancy's H.A.W.X 2,PlayStation 3,3,NULL,52.1667,9,60.2152,13
28323,Mega Man Legacy Collection 2,PC (Microsoft Windows),7,NULL,71.4000,11,95.1374,9
28323,Mega Man Legacy Collection 2,PlayStation 4,7,NULL,71.4000,11,95.1374,9
28323,Mega Man Legacy Collection 2,Xbox One,7,NULL,71.4000,11,95.1374,9
28323,Mega Man Legacy Collection 2,Nintendo Switch,7,NULL,71.4000,11,95.1374,9
94873,Sonic Mania Plus,PlayStation 4,7,NULL,86.7778,9,95.1978,33
94873,Sonic Mania Plus,Xbox One,7,NULL,86.7778,9,95.1978,33
94873,Sonic Mania Plus,Nintendo Switch,7,NULL,86.7778,9,95.1978,33
6168,Insanely Twisted Shadow Planet,Linux,4,NULL,75.6667,5,73.4077,18
6168,Insanely Twisted Shadow Planet,PC (Microsoft Windows),4,NULL,75.6667,5,73.4077,18
6168,Insanely Twisted Shadow Planet,Mac,4,NULL,75.6667,5,73.4077,18
12519,Tooth and Tail,Linux,10,4,82.0000,8,69.6038,12
12519,Tooth and Tail,PC (Microsoft Windows),10,4,82.0000,8,69.6038,12
12519,Tooth and Tail,Mac,10,4,82.0000,8,69.6038,12
12519,Tooth and Tail,PlayStation 4,10,4,82.0000,8,69.6038,12
27150,Minion Masters,PC (Microsoft Windows),6,1,0.0000,1,66.5303,14
27150,Minion Masters,Mac,6,1,0.0000,1,66.5303,14
27150,Minion Masters,Xbox One,6,1,0.0000,1,66.5303,14
5991,Project: Snowblind,PC (Microsoft Windows),3,NULL,72.5000,4,62.9768,21
9607,CLANNAD,PC (Microsoft Windows),9,NULL,NULL,NULL,90.8528,27
9607,CLANNAD,PlayStation 3,9,NULL,NULL,NULL,90.8528,27
9607,CLANNAD,Android,9,NULL,NULL,NULL,90.8528,27
9607,CLANNAD,PlayStation 4,9,NULL,NULL,NULL,90.8528,27
9607,CLANNAD,Nintendo Switch,9,NULL,NULL,NULL,90.8528,27
934,Wing Commander IV: The Price of Freedom,PC (Microsoft Windows),4,NULL,62.5000,2,89.4022,19
934,Wing Commander IV: The Price of Freedom,PlayStation 3,4,NULL,62.5000,2,89.4022,19
934,Wing Commander IV: The Price of Freedom,Mac,4,NULL,62.5000,2,89.4022,19
824,NHL 09,PC (Microsoft Windows),3,NULL,90.0000,3,89.5773,23
824,NHL 09,PlayStation 3,3,NULL,90.0000,3,89.5773,23
